pays,code_pays,annee,produit,code_produit,dispo_int,animal_food,semences,pertes,transfo,nourriture,other_uses
Armenie,1,2013,Ble,2511,554000000.0,93000000.0,30000000.0,32000000.0,10000000.0,389000000.0,0.0
Armenie,1,2013,Orge,2513,198000000.0,137000000.0,14000000.0,15000000.0,7000000.0,0.0,26000000.0
Armenie,1,2013,Mais,2514,102000000.0,96000000.0,0.0,7000000.0,0.0,0.0,0.0
Armenie,1,2013,Seigle,2515,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Avoine,2516,6000000.0,4000000.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Millet,2517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Sorgho,2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,"Cereales, Autres",2520,21000000.0,1000000.0,1000000.0,1000000.0,0.0,6000000.0,12000000.0
Armenie,1,2013,Pommes de Terre,2531,672000000.0,225000000.0,123000000.0,96000000.0,78000000.0,134000000.0,16000000.0
Armenie,1,2013,Manioc,2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Racines nda,2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,"Sucre, betterave",2537,55000000.0,1000000.0,0.0,0.0,54000000.0,0.0,0.0
Armenie,1,2013,Sucre Eq Brut,2542,93000000.0,0.0,0.0,0.0,0.0,98000000.0,0.0
Armenie,1,2013,Edulcorants Autres,2543,5000000.0,0.0,0.0,0.0,0.0,5000000.0,0.0
Armenie,1,2013,Haricots,2546,5000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Pois,2547,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Legumineuses Autres,2549,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Noix,2551,6000000.0,0.0,0.0,0.0,0.0,6000000.0,0.0
Armenie,1,2013,Soja,2555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Arachides Decortiquees,2556,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Graines de tournesol,2557,2000000.0,0.0,0.0,0.0,2000000.0,0.0,0.0
Armenie,1,2013,Graines Colza/Moutarde,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Coco (Incl Coprah),2560,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Sesame,2561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Olives,2563,3000000.0,0.0,0.0,0.0,0.0,3000000.0,0.0
Armenie,1,2013,"Plantes Oleiferes, Autre",2570,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile de Soja,2571,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Huile d'Arachide,2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile de Tournesol,2573,30000000.0,0.0,0.0,0.0,0.0,26000000.0,3000000.0
Armenie,1,2013,Huile de Colza&Moutarde,2574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile Graines de Coton,2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile de Palmistes,2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile de Palme,2577,1000000.0,0.0,0.0,0.0,0.0,0.0,1000000.0
Armenie,1,2013,Huile de Coco,2578,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Huile de Sesame,2579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile d'Olive,2580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huile de Germe de Mais,2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Huil Plantes Oleif Autr,2586,2000000.0,0.0,0.0,0.0,0.0,0.0,2000000.0
Armenie,1,2013,Tomates,2601,273000000.0,0.0,0.0,11000000.0,0.0,262000000.0,0.0
Armenie,1,2013,Oignons,2602,53000000.0,0.0,0.0,0.0,0.0,52000000.0,0.0
Armenie,1,2013,"Legumes, Autres",2605,764000000.0,13000000.0,0.0,27000000.0,0.0,724000000.0,0.0
Armenie,1,2013,"Oranges, Mandarines",2611,14000000.0,0.0,0.0,0.0,0.0,14000000.0,0.0
Armenie,1,2013,Citrons & Limes,2612,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Pamplemousse,2613,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Armenie,1,2013,"Agrumes, Autres",2614,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,Bananes,2615,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Armenie,1,2013,Bananes plantains,2616,8000000.0,0.0,0.0,0.0,0.0,8000000.0,0.0
Armenie,1,2013,Pommes,2617,107000000.0,19000000.0,0.0,8000000.0,7000000.0,74000000.0,0.0
Armenie,1,2013,Ananas,2618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Dattes,2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Raisin,2620,235000000.0,0.0,0.0,12000000.0,8000000.0,40000000.0,175000000.0
Armenie,1,2013,"Fruits, Autres",2625,206000000.0,0.0,0.0,19000000.0,0.0,187000000.0,0.0
Armenie,1,2013,Cafe,2630,12000000.0,0.0,0.0,0.0,0.0,12000000.0,0.0
Armenie,1,2013,Feve de Cacao,2633,7000000.0,0.0,0.0,0.0,0.0,7000000.0,0.0
Armenie,1,2013,The,2635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Poivre,2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Piments,2641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Girofles,2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,"Epices, Autres",2645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Vin,2655,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
Armenie,1,2013,Biere,2656,19000000.0,0.0,0.0,0.0,0.0,19000000.0,0.0
Armenie,1,2013,Boissons Fermentes,2657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Boissons Alcooliques,2658,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Armenie,1,2013,"Alcool, non Comestible",2659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenie,1,2013,Aliments pour enfants,2680,0.0,0.0,0.0,0.0,0.0,0.0,0.0
